y,x,sx,sy
37.5,0,0.1,0.05
39,67.35,0.1,0.05
39.5,81.48,0.1,0.05
40,96.02,0.1,0.05
40.5,108.56,0.1,0.05
41.5,134.37,0.1,0.05
43,168.41,0.1,0.05
44,197.68,0.1,0.05
44.7,252.75,0.1,0.05
44,285.79,0.1,0.05
43,316.01,0.1,0.05
42,340.99,0.1,0.05
40.5,375.11,0.1,0.05
39,415.29,0.1,0.05
38,449.14,0.1,0.05
37.5,493.42,0.1,0.05
38.3,555.16,0.1,0.05
39.5,586.35,0.1,0.05
41,619.2,0.1,0.05
42.5,655.89,0.1,0.05
43.5,688.25,0.1,0.05
44,714.47,0.1,0.05
44.3,739.7,0.1,0.05
43.7,781.24,0.1,0.05
43,811.78,0.1,0.05
41.7,846.23,0.1,0.05
40.5,876.74,0.1,0.05
39.3,908.84,0.1,0.05
38.5,934.59,0.1,0.05
37.8,968.58,0.1,0.05
38.2,1019.49,0.1,0.05
38.7,1050.5,0.1,0.05
40,1089.93,0.1,0.05
41,1117.34,0.1,0.05
42,1145.45,0.1,0.05
43,1176.74,0.1,0.05
43.6,1204.45,0.1,0.05
43.8,1231.29,0.1,0.05
43.9,1246.57,0.1,0.05
43.5,1279.17,0.1,0.05
42.5,1314.4,0.1,0.05
41.5,1347.29,0.1,0.05
40.3,1381.05,0.1,0.05
39.5,1404.39,0.1,0.05
38.7,1433.47,0.1,0.05
38.2,1468.57,0.1,0.05
38.1,1499.98,0.1,0.05
38.5,1531.08,0.1,0.05
39,1555.27,0.1,0.05
39.5,1573.43,0.1,0.05
40.6,1606.87,0.1,0.05
42,1647.02,0.1,0.05
42.8,1678.53,0.1,0.05
43.3,1701.79,0.1,0.05
43.4,1723.12,0.1,0.05
43.5,1741.87,0.1,0.05
43,1783.16,0.1,0.05
42.5,1808.77,0.1,0.05
41.3,1852.16,0.1,0.05
40,1887.8,0.1,0.05
39.5,1909.59,0.1,0.05
38.7,1950.88,0.1,0.05
38.5,1967.07,0.1,0.05
38.4,1981.74,0.1,0.05
38.6,2012.84,0.1,0.05
39,2038.24,0.1,0.05
39.5,2062.57,0.1,0.05
40.5,2098.33,0.1,0.05
41.5,2132.82,0.1,0.05
42.5,2172.43,0.1,0.05
43,2198.65,0.1,0.05
43.3,2220.07,0.1,0.05
43.1,2261.89,0.1,0.05
42.3,2311.83,0.1,0.05
41.5,2337.74,0.1,0.05
41,2357.43,0.1,0.05
40,2393.37,0.1,0.05
39.5,2417.72,0.1,0.05
39,2443.36,0.1,0.05
38.8,2470.13,0.1,0.05
38.7,2483.19,0.1,0.05
39,2520.36,0.1,0.05
39.5,2553.74,0.1,0.05
40.3,2585.06,0.1,0.05
41,2613.68,0.1,0.05
42,2653.72,0.1,0.05
42.5,2681.91,0.1,0.05
42.7,2710.96,0.1,0.05
42.9,2734.32,0.1,0.05
42.6,2767.33,0.1,0.05
42.3,2798.18,0.1,0.05
41.9,2813.98,0.1,0.05
41.5,2827.12,0.1,0.05
41.2,2845.06,0.1,0.05