t,P,model,residu,sy,sx,sigma_eff
0.0,37.5,37.11324036336253,0.38675963663747126,0.05,0.1,0.05000246809463801
67.35,39.0,38.67809001143106,0.32190998856894026,0.05,0.1,0.0501480368869212
81.48,39.5,39.25271909599814,0.24728090400186176,0.05,0.1,0.050181241852187704
96.02,40.0,39.8944227739339,0.10557722606610298,0.05,0.1,0.05020574667969025
108.56,40.5,40.472420738885866,0.027579261114134113,0.05,0.1,0.05021655224765651
134.37,41.5,41.6694367939009,-0.16943679390089983,0.05,0.1,0.05020526661103479
168.41,43.0,43.08583946872902,-0.08583946872902004,0.05,0.1,0.05013383424847783
197.68,44.0,43.980060907066004,0.01993909293399554,0.05,0.1,0.05005673767613343
252.75,44.7,44.46780119769443,0.2321988023055752,0.05,0.1,0.050004494570815655
285.79,44.0,43.95076618520619,0.049233814793808506,0.05,0.1,0.05005803127160179
316.01,43.0,43.02714147171409,-0.02714147171408854,0.05,0.1,0.050131317240519585
340.99,42.0,42.03700221687822,-0.03700221687822136,0.05,0.1,0.05017899313491551
375.11,40.5,40.54398122396463,-0.04398122396462867,0.05,0.1,0.05019159005459328
415.29,39.0,38.917555063069855,0.08244493693014476,0.05,0.1,0.05012537365872809
449.14,38.0,37.940129363843916,0.059870636156084345,0.05,0.1,0.050046100137174025
493.42,37.5,37.49344704860255,0.006552951397452489,0.05,0.1,0.05000030647241915
555.16,38.3,38.562500574515454,-0.2625005745154567,0.05,0.1,0.05009587010354294
586.35,39.5,39.67529453755684,-0.17529453755683733,0.05,0.1,0.050155283309116575
619.2,41.0,41.028200856710896,-0.028200856710896005,0.05,0.1,0.05017396739590617
655.89,42.5,42.480707414602534,0.0192925853974657,0.05,0.1,0.05012964927668516
688.25,43.5,43.47753539414171,0.022464605858289133,0.05,0.1,0.05006121161558189
714.47,44.0,43.97209841683253,0.027901583167469823,0.05,0.1,0.05001601194568951
739.7,44.3,44.13083615589765,0.16916384410234997,0.05,0.1,0.050000002370292174
781.24,43.7,43.69463934763867,0.005360652361332541,0.05,0.1,0.05004120320038947
811.78,43.0,42.890328062657446,0.10967193734255432,0.05,0.1,0.050100335743233
846.23,41.7,41.65690838282268,0.04309161717732479,0.05,0.1,0.05015006478853089
876.74,40.5,40.45592925773868,0.044070742261318685,0.05,0.1,0.05015176036493982
908.84,39.3,39.28286231304959,0.01713768695040585,0.05,0.1,0.05010954630783462
934.59,38.5,38.53406391563444,-0.03406391563444089,0.05,0.1,0.05006022309958939
968.58,37.8,37.944137376366086,-0.14413737636608914,0.05,0.1,0.05000934739923157
1019.49,38.2,38.07453329263717,0.1254667073628326,0.05,0.1,0.05002108451591362
1050.5,38.7,38.72289587401857,-0.022895874018566076,0.05,0.1,0.05007141005762337
1089.93,40.0,39.987578617849515,0.012421382150485272,0.05,0.1,0.050129878521266324
1117.34,41.0,41.00448989140553,-0.004489891405526691,0.05,0.1,0.05013964584758223
1145.45,42.0,42.02109990256123,-0.021099902561232398,0.05,0.1,0.05011671512436326
1176.74,43.0,42.97044284387324,0.029557156126756468,0.05,0.1,0.050066145761705524
1204.45,43.6,43.540233365130575,0.05976663486942613,0.05,0.1,0.05002249731835348
1231.29,43.8,43.78385925254794,0.016140747452055848,0.05,0.1,0.05000090204499
1246.57,43.9,43.77612482416825,0.12387517583174912,0.05,0.1,0.05000160376635088
1279.17,43.5,43.411913858522794,0.08808614147720562,0.05,0.1,0.05003235430246279
1314.4,42.5,42.561237189343515,-0.0612371893435153,0.05,0.1,0.05008680725972951
1347.29,41.5,41.48621845244955,0.013781547550451023,0.05,0.1,0.050121944980903284
1381.05,40.3,40.298538875876055,0.0014611241239421702,0.05,0.1,0.05011788219760448
1404.39,39.5,39.53816580150738,-0.03816580150738247,0.05,0.1,0.050091955321880995
1433.47,38.7,38.77137278723266,-0.07137278723265439,0.05,0.1,0.050047610252843606
1468.57,38.2,38.24003018082605,-0.040030180826043704,0.05,0.1,0.050006385655699884
1499.98,38.1,38.202324249438185,-0.1023242494381833,0.05,0.1,0.05000312496183181
1531.08,38.5,38.574578400215344,-0.07457840021534423,0.05,0.1,0.050032435547328426
1555.27,39.0,39.10833668568807,-0.10833668568807298,0.05,0.1,0.050066320050603665
1573.43,39.5,39.61691725798217,-0.11691725798217334,0.05,0.1,0.05008991473376376
1606.87,40.6,40.6954721936383,-0.09547219363830095,0.05,0.1,0.05011236976432084
1647.02,42.0,41.99972894684733,0.00027105315267306196,0.05,0.1,0.050090194130611984
1678.53,42.8,42.830287107829996,-0.03028710782999866,0.05,0.1,0.05004835396686406
1701.79,43.3,43.249963992249526,0.0500360077504709,0.05,0.1,0.05001916719648171
1723.12,43.4,43.45625497634528,-0.05625497634527932,0.05,0.1,0.05000290892513981
1741.87,43.5,43.48519166896169,0.01480833103831003,0.05,0.1,0.05000053390984547
1783.16,43.0,43.05476197866692,-0.054761978666917344,0.05,0.1,0.050032451303862496
1808.77,42.5,42.49305942369907,0.006940576300927148,0.05,0.1,0.050064742727924806
1852.16,41.3,41.22225354292209,0.0777464570779074,0.05,0.1,0.05009997704715738
1887.8,40.0,40.10929746088328,-0.10929746088328329,0.05,0.1,0.0500885527054353
1909.59,39.5,39.501439156217344,-0.0014391562173443617,0.05,0.1,0.05006588571649239
1950.88,38.7,38.68214423991419,0.017855760085815575,0.05,0.1,0.050017279870852985
1967.07,38.5,38.5175168817866,-0.01751688178659805,0.05,0.1,0.05000507919208101
1981.74,38.4,38.45448305506831,-0.05448305506831019,0.05,0.1,0.05000020972271686
2012.84,38.6,38.595820088259124,0.0041799117408771735,0.05,0.1,0.050010800939055446
2038.24,39.0,38.970694560992264,0.029305439007735856,0.05,0.1,0.05003554127604333
2062.57,39.5,39.50971747672257,-0.00971747672257095,0.05,0.1,0.05006293302424646
2098.33,40.5,40.50859705815151,-0.008597058151508463,0.05,0.1,0.0500887805953458
2132.82,41.5,41.53351163099861,-0.03351163099861054,0.05,0.1,0.05008222470669529
2172.43,42.5,42.536997866654524,-0.03699786665452365,0.05,0.1,0.050043858495938835
2198.65,43.0,42.9849871445373,0.015012855462700259,0.05,0.1,0.05001671143256909
2220.07,43.3,43.182012202695674,0.1179877973043233,0.05,0.1,0.0500028815030494
2261.89,43.1,43.08654188973842,0.013458110261581169,0.05,0.1,0.050009564651738045
2311.83,42.3,42.21894311080102,0.08105688919897602,0.05,0.1,0.05005641013803969
2337.74,41.5,41.54836189291636,-0.04836189291636117,0.05,0.1,0.05007576812445394
2357.43,41.0,40.99430338359487,0.005696616405131749,0.05,0.1,0.050080880887280056
2393.37,40.0,40.00498434699623,-0.0049843469962311815,0.05,0.1,0.050065826094760714
2417.72,39.5,39.43491974256907,0.06508025743092816,0.05,0.1,0.05004323674554375
2443.36,39.0,38.98958303510577,0.01041696489423316,0.05,0.1,0.05001862940699019
2470.13,38.8,38.74067161467161,0.059328385328385025,0.05,0.1,0.05000229125623209
2483.19,38.7,38.70779998208835,-0.007799982088350532,0.05,0.1,0.050000005768841845
2520.36,39.0,38.93458158210245,0.06541841789754699,0.05,0.1,0.0500148430608043
2553.74,39.5,39.49734804399217,0.002651956007831302,0.05,0.1,0.05004413777990365
2585.06,40.3,40.24172480411395,0.058275195886047015,0.05,0.1,0.05006698122354126
2613.68,41.0,41.00449245135574,-0.0044924513557376144,0.05,0.1,0.0500719443552596
2653.72,42.0,42.01205033332716,-0.01205033332715999,0.05,0.1,0.05005030839678569
2681.91,42.5,42.558344584179686,-0.05834458417968591,0.05,0.1,0.050025362296061734
2710.96,42.7,42.89849158836347,-0.19849158836346703,0.05,0.1,0.05000525130647275
2734.32,42.9,42.978818065180974,-0.07881806518097534,0.05,0.1,0.05000001648954619
2767.33,42.6,42.78948447457835,-0.18948447457835016,0.05,0.1,0.05001182192869228
2798.18,42.3,42.32432472148143,-0.024324721481434608,0.05,0.1,0.05003564495761603
2813.98,41.9,42.00091530820054,-0.10091530820054118,0.05,0.1,0.05004800654317193
2827.12,41.5,41.70007760823707,-0.20007760823707343,0.05,0.1,0.0500564569361152
2845.06,41.2,41.258723421515086,-0.05872342151508292,0.05,0.1,0.05006358511119074
